Player Name,Team,World,Vehicle Type,Companion,Kart Racing Rank,Platforming Rank,Boss Battle Rank,Power-Ups Used,Kart Role,Team Points,Lives Lost,Participation in Battle Mode,Mushroom Cup Participation,Power-Ups Owned,Coins Spent in Toad Town,Levels Completed,Times Hit by Enemies,Primary Game
Peach,Sarasaland Stars,         kOOPA kINGDOM                  ,Biddybuggy,kOOPA tROOPA,S,C,A,28,Driver,177.0,2.0,Yes,Yes,Fire Flower,161,54,6.0,Mario Party Superstars
Rosalina,Mushroom Royalty,Yoshi's Island,Biddybuggy,Yoshi,S,B,S,27,Driver`,138.0,0.0,Yes,No,Red Shell,157,98,10.0,                  Mario Strikers                  
Waluigi,Green Caps,Star World,Circuit Special,Polterpup,S,D,D,6,Speedster,39.0,1.0,Yes,No,Green Shell,6,47,9.0,Super Mario Odyssey
,GREEN CAPS,         Koopa Kingdom                           ,Comet Bike,gOOMBA,,D,D,29,Driver,65.0,3.0,No,Yes,Super Mushroom,258,56,0.0,Super Mario World
Rosalina,Mushroom Royalty,Koopa Kingdom,Biddybuggy,Yoshi,,A,S,24,Item Specialist,8.0,1.0,No,,"Banana Peel, 1-Up Mushroom",420,58,3.0,                  Mario Kart 8 Deluxe         
,Sarasaland Stars,Donut Plains,         Scooter                           ,Polterpup,B,S,A,29,Item: Specialist,30.632421,5.0,No,Yes,Super Star,43,42,7.0,Mario Strikers
Rosalina,,Star World,Pipe Frame,kOOPA tROOPA,B,B,B,15,Driver,158.1,1.90653,Yes,,"Super Mushroom, Fire Flower",117,100,0.0,Mario Kart 8 Deluxe
,Toad Brigade,                  Koopa Kingdom                           ,Biddybuggy,Shy Guy,D,C,A,23,Item Specialist,-85.0,0.0,Yes,Yes,"Banana Peel, Super Star, Green Shell",486,35,6.0,Mario Kart 8 Deluxe
Peach,Mushroom Royalty,Donut Plains,                           Mach 8                           ,Koopa Troopa,A,B,A,10,Speedster,103.4,5.0,No,Yes,"Green Shell, 1-Up Mushroom",202,70,1.0,Mario Party Superstars
Waluigi,Sarasaland Stars,Star World,Circuit Special,Toad,,S,D,15,Blocker,32.0,0.0,No,Yes,Banana Peel,442,60,1.0,Super Mario World
,GREEN CAPS,Donut Plains,Mach 8,pOLTERPUP,,S,A,10,Drifter,195.0,0.0,No,No,"1-Up Mushroom, Red Shell, Super Mushroom",444,67,6.0,Mario Kart 8 Deluxe
DaUisy,Dino Buddies,Yoshi's Island,                           Pipe Frame                           ,Toad,,B,S,27,Drifter,-2.369,5.0,No,Yes,1-Up Mushroom,53,30,4.0,Mario Strikers
Toadette,Mushroom Royalty,Star World,Scooter,pOLTERPUP,S,S,A,15,Blocker,-90.0,0.0,Yes,Yes,"Red Shell, Banana Peel",68,27,0.0,Super Mario Odyssey
Toad,Toad Brigade,Mushroom Kingdom,Comet Bike,Yoshi,D,D,S,15,Speedst-er,-6.0,3.0,Yes,No,Super Mushroom,27,78,5.0,                  Super Mario World                  
,Tricksters,dONUT pLAINS,Circuit Special,gOOMBA,,B,C,28,Driver,177.0,3.0,No,,Super Mushroom,362,73,7.0,Mario Party Superstars
Bowser Jr.,Green Caps,Toad Town,Mach 8,sHY gUY,C,S,A,9,Driver,68.0,3.0,Yes,Yes,"Red Shell, Fire Flower, Super Star",343,61,3.0,                           Super Mario World         
Waluigi,TOAD BRIGADE,         Donut Plains                           ,Scooter,Toad,A,C,C,15,Blocker,-2.0,1.0,Yes,No,"Fire Flower, Super Star",44,65,1.0,Mario Party Superstars
,KOOPA CLAN,         Toad Town                  ,Comet Bike,kOOPA tROOPA,A,D,S,23,Blocker,47.0,4.8,No,,"1-Up Mushroom, Super Star",444,60,0.0,Mario Tennis Aces
,Koopa Clan,tOAD tOWN,Comet Bike,Shy Guy,,B,A,16,Item Specialist,22.314,3.0,Yes,Yes,Super Star,95,87,10.0,Super Mario Bros.
,Sarasaland Stars,Donut Plains,Pipe Frame,lUMA,B,D,B,5,Drifter,125.0,4.0,No,Yes,Banana Peel,430,47,10.0,Mario Tennis Aces
Wario,Toad Brigade,                           Donut Plains                  ,                           Pipe Frame                           ,Yoshi,D,S,C,14,Speedster,-69.0,4.0,No,No,"Banana Peel, Green Shell",50,41,3.0,Mario Strikers
Wario,TOAD BRIGADE,                           kOOPA kINGDOM                           ,Mach 8,gOOMBA,A,D,B,10,Blocker,39.0,0.0,Yes,,"Fire Flower, Green Shell",445,50,4.0,Mario Tennis Aces
,Toad Brigade,kOOPA kINGDOM,Standard Kart,Luma,C,D,D,19,Item Specialist,-54.0,3.0,No,,"Banana Peel, 1-Up Mushroom",266,92,6.0,                  Super Mario Odyssey                  
,GREEN CAPS,kOOPA kINGDOM,Biddybuggy,gOOMBA,B,B,B,12,Item Specialist,25.0,2.0,No,Yes,Banana Peel,355,42,5.0,Mario Kart 8 Deluxe
Toad,Green Caps,                           Star World                           ,Comet Bike,Toad,,S,S,29,Drifter,73.0,0.1504,Yes,No,Fire Flower,165,86,4.0,                           Mario Party Superstars                           
,Koopa Clan,Star World,Comet Bike,Toad,A,A,B,20,Drifter,19.6323,0.0,Yes,Yes,"Green Shell, 1-Up Mushroom, Red Shell",378,94,7.0,Super Mario World
Toad,MUSHROOM ROYALTY,Toad Town,Biddybuggy,tOAD,S,B,C,17,Item Specialist,165.0,4.0,No,,"Fire Flower, Red Shell, 1-Up Mushroom",453,27,2.0,Mario Kart 8 Deluxe
,Mushroom Royalty,                  dONUT pLAINS         ,Biddybuggy,Goomba,C,A,C,18,Drifter,163.0,2.0,No,No,"Green Shell, 1-Up Mushroom, Fire Flower",2,25,8.0,                  Mario Tennis Aces                           
,Koopa Clan,Yoshi's Island,Circuit Special,lUMA,S,C,A,6,Blocker,110.9,4.503,Yes,,1-Up Mushroom,318,90,7.0,Super Mario Odyssey
Luigi,Koopa Clan,Yoshi's Island,Comet Bike,lUMA,A,C,S,19,D\river,18.0,1.0,No,,Super Star,248,38,3.0,Mario Strikers
Rosalina,KOOPA CLAN,tOAD tOWN,Mach 8,gOOMBA,C,A,C,9,Driv*er,189.831504,5.3403,No,No,"Super Star, Red Shell, 1-Up Mushroom",456,41,3.0,Mario Strikers
,Tricksters,mUSHROOM kINGDOM,Biddybuggy,pOLTERPUP,D,C,D,5,Driver,-44.0,1.508716,Yes,Yes,"Green Shell, Super Mushroom, Banana Peel",21,39,0.0,                           Mario Tennis Aces                           
,KOOPA CLAN,Toad Town,Mach 8,gOOMBA,B,B,A,28,Speedster,8.0,2.0439,Yes,Yes,"1-Up Mushroom, Super Mushroom",422,34,4.0,Mario Strikers
Bowser Jr.,Mushroom Royalty,Mushroom Kingdom,Standard Kart,Shy Guy,B,S,A,14,Speedster,-38.0,5.862542,Yes,Yes,"Green Shell, Fire Flower, 1-Up Mushroom",132,35,3.0,                  Mario Tennis Aces         
Bowser,Tricksters,yOSHI'S iSLAND,         Biddybuggy                           ,gOOMBA,B,S,D,18,Driver,149.0,5.0,No,No,"Red Shell, Green Shell, Super Star",463,79,2.0,         Mario Kart 8 Deluxe                           
,Green Caps,Star World,Scooter,Goomba,C,D,A,8,Drifter,103.0,5.0,Yes,,"Super Star, Red Shell, Super Mushroom",314,98,9.0,Mario Strikers
Peach,Green Caps,Star World,Circuit Special,lUMA,C,B,B,7,Speedster,-98.907792,4.0,No,Yes,1-Up Mushroom,5,48,9.0,Mario Party Superstars
,Sarasaland Stars,Koopa Kingdom,Biddybuggy,tOAD,C,D,A,28,Driver,-40.0,0.0,Yes,Yes,Super Star,58,91,6.0,Mario Tennis Aces
Toad,SARASALAND STARS,                  Yoshi's Island         ,Pipe Frame,Polterpup,B,B,D,27,Drive*r,96.0,4.0,No,No,Green Shell,196,90,5.0,Super Mario World
Toad,Dino Buddies,Yoshi's Island,Scooter,Yoshi,B,C,C,28,Blocker,-2.0,4.673365,Yes,No,"1-Up Mushroom, Red Shell, Super Mushroom",190,83,5.0,Mario Party Superstars
Mario,Green Caps,                           Star World         ,Biddybuggy,Luma,D,C,C,6,Item Specialist,132.0,1.37583,No,,"Super Mushroom, Fire Flower, Red Shell",429,71,5.0,Mario Strikers
Mario,Koopa Clan,Toad Town,Biddybuggy,Shy Guy,S,C,S,11,Driver,-4.616497,2.0,No,No,Fire Flower,297,97,9.0,Mario Kart 8 Deluxe
Toad,MUSHROOM ROYALTY,         Donut Plains                  ,Comet Bike,yOSHI,B,A,D,25,Bloc#ker,191.0,5.0,Yes,Yes,Green Shell,363,88,9.0,                           Mario Tennis Aces         
,Koopa Clan,         Mushroom Kingdom                           ,Pipe Frame,yOSHI,B,C,A,26,Blocker,-1.0,0.0,No,No,"Green Shell, Fire Flower, 1-Up Mushroom",418,95,3.0,Super Mario Bros.
Mario,Toad Brigade,                  Star World                           ,                  Scooter         ,lUMA,D,A,A,10,Blocker,-22.0,0.0,Yes,,"1-Up Mushroom, Red Shell",184,27,0.0,                           Mario Strikers         
WVario,Sarasaland Stars,         Mushroom Kingdom                  ,Pipe Frame,lUMA,S,D,D,22,Item Specialist,-19.0,5.0,No,,"Banana Peel, Super Mushroom",197,44,8.0,Super Mario World
Bowser,Red Caps,Mushroom Kingdom,Standard Kart,Yoshi,A,C,A,15,Blocker,141.0,2.0,No,,"1-Up Mushroom, Fire Flower",284,43,3.0,Super Mario Bros.
,Toad Brigade,Yoshi's Island,Standard Kart,pOLTERPUP,B,S,D,26,Driver,183.0,4.08019,Yes,No,"Super Mushroom, Banana Peel",429,91,2.0,Mario Party Superstars
Toadette,Mushroom Royalty,Mushroom Kingdom,Scooter,Shy Guy,B,B,A,27,Blocker,67.0,4.0,No,Yes,"Green Shell, Red Shell",287,95,8.0,                  Super Mario Bros.                           
,Tricksters,Koopa Kingdom,Scooter,kOOPA tROOPA,D,D,B,25,Speedster,93.0,2.42,No,No,"Super Star, Fire Flower, 1-Up Mushroom",225,52,0.0,                  Mario Party Superstars                  
Bowser Jr.,Tricksters,Donut Plains,Pipe Frame,Polterpup,S,S,A,17,Drifter,144.0,0.0,No,Yes,Fire Flower,464,30,1.0,Mario Strikers
Luigi,Koopa Clan,                  Koopa Kingdom         ,Scooter,Toad,C,S,S,8,Item Specialist,143.98125,3.99,Yes,,1-Up Mushroom,449,44,7.0,Super Mario Bros.
,Mushroom Royalty,Star World,Comet Bike,Shy Guy,A,A,A,15,Driver,185.0,0.0,No,,"1-Up Mushroom, Fire Flower, Banana Peel",105,84,8.0,Super Mario Odyssey
Toad,TRICKSTERS,Star World,Standard Kart,Goomba,,A,D,14,S#peedster,-61.52,5.0,No,No,"Super Mushroom, Red Shell, 1-Up Mushroom",121,70,2.0,Super Mario World
Rosalina,TRICKSTERS,Toad Town,Standard Kart,Toad,D,D,A,15,Driver,58.0,1.0,No,Yes,1-Up Mushroom,303,83,10.0,Mario Strikers
Daisy,Toad Brigade,Toad Town,                           Pipe Frame         ,sHY gUY,B,A,A,9,Driver,-42.0,2.0,Yes,,Fire Flower,461,29,7.0,                           Super Mario Odyssey                  
,Tricksters,Toad Town,Comet Bike,lUMA,,S,A,22,Item Specialist,-20.0,5.0,Yes,No,"Fire Flower, Red Shell, Super Star",142,98,6.0,Mario Party Superstars
Bowser Jr.,Dino Buddies,Yoshi's Island,Standard Kart,gOOMBA,D,D,S,21,"Blocker""",67.0,0.0,Yes,,"Fire Flower, Red Shell, Banana Peel",334,34,8.0,Mario Strikers
Peach,Dino Buddies,mUSHROOM kINGDOM,Pipe Frame,Yoshi,A,B,A,12,Item Specialist,159.0,4.0,Yes,,"1-Up Mushroom, Super Star, Fire Flower",354,36,6.0,Super Mario Odyssey
Toadette,Sarasaland Stars,Yoshi's Island,         Circuit Special                  ,Koopa Troopa,B,S,S,6,Drifter,9.47,3.0,No,Yes,"Super Star, Banana Peel",404,91,1.0,Super Mario Bros.
Bowser Jr.,Koopa Clan,         kOOPA kINGDOM         ,Biddybuggy,Polterpup,B,D,D,12,Blocker,120.0,5.7,No,No,Red Shell,410,78,9.0,Mario Kart 8 Deluxe
Rosalina,Mushroom Royalty,Star World,Biddybuggy,Polterpup,A,C,B,18,Speedster,56.0,4.246582,Yes,Yes,Red Shell,306,26,1.0,Super Mario World
Mario,GREEN CAPS,Yoshi's Island,Mach 8,Shy Guy,C,D,S,16,Blocker,-54.0,0.0,No,Yes,"1-Up Mushroom, Red Shell, Super Star",498,60,9.0,Mario Strikers
,Green Caps,Yoshi's Island,Standard Kart,sHY gUY,B,D,D,30,Drifter,-57.469937,5.0,No,No,Red Shell,0,78,6.0,                           Mario Kart 8 Deluxe                           
,Tricksters,Star World,Biddybuggy,Koopa Troopa,A,D,C,12,Item Specialist,11.4,5.0,Yes,Yes,Banana Peel,361,38,5.0,Mario Strikers
,Sarasaland Stars,Donut Plains,Circuit Special,tOAD,B,A,B,14,Blocker,18.0,4.0,No,Yes,Fire Flower,457,55,4.0,         Mario Party Superstars         
Toadette,Red Caps,                  Donut Plains         ,Comet Bike,Shy Guy,,D,B,23,Driv^er,14.0,1.0,No,,"Red Shell, Super Mushroom",340,31,2.0,Mario Strikers
Toadette,GREEN CAPS,Yoshi's Island,                           Biddybuggy                           ,Toad,C,C,B,20,Speedster,-49.0,1.0,No,,"1-Up Mushroom, Super Mushroom",420,84,0.0,Super Mario Odyssey
,Green Caps,         Toad Town                  ,Comet Bike,Shy Guy,B,S,A,13,Blocker,141.0,3.0,Yes,Yes,Super Mushroom,49,43,7.0,         Super Mario Bros.         
Luigi,Red Caps,                           Yoshi's Island         ,Mach 8,Shy Guy,,D,C,25,Item Sp$ecialist,195.7729,0.0,No,Yes,"Super Mushroom, Super Star, Fire Flower",470,89,7.0,                  Mario Strikers                           
,Red Caps,sTAR wORLD,Biddybuggy,Yoshi,D,C,S,5,Speedster,30.0,5.0,Yes,Yes,"Super Star, Super Mushroom, Banana Peel",18,98,1.0,Super Mario Bros.
Daisy,Dino Buddies,Star World,Pipe Frame,Toad,B,S,A,26,Item Specialist,58.0,4.85,No,Yes,Super Mushroom,389,70,6.0,Super Mario World
Daisy,KOOPA CLAN,Toad Town,         Biddybuggy         ,yOSHI,B,B,S,26,Speedst=er,-15.0,1.15,Yes,,Red Shell,295,64,0.0,                  Mario Kart 8 Deluxe                           
,,                           Toad Town         ,Mach 8,pOLTERPUP,A,A,C,18,Drifter,50.0,4.327,No,,"Fire Flower, 1-Up Mushroom",395,42,6.0,Mario Strikers
Wario,Mushroom Royalty,Star World,Circuit Special,Goomba,B,C,S,27,Driver,135.0,1.0,No,No,"Fire Flower, Red Shell",134,95,4.0,Super Mario Bros.
Bowser Jr.,TRICKSTERS,mUSHROOM kINGDOM,Scooter,Polterpup,D,S,C,10,Drifter,187.0,0.15,Yes,Yes,"Fire Flower, 1-Up Mushroom",117,54,9.0,Mario Tennis Aces
Daisy,Dino Buddies,         Mushroom Kingdom                           ,Comet Bike,Luma,A,A,D,26,Driver,-94.0,3.939637,Yes,No,"Banana Peel, Green Shell, Fire Flower",242,81,9.0,Mario Kart 8 Deluxe
Peach,Green Caps,Toad Town,                           Biddybuggy                           ,pOLTERPUP,,B,B,19,Speedster,150.0,2.0,Yes,,Green Shell,449,81,5.0,Mario Tennis Aces
Toad,Mushroom Royalty,Mushroom Kingdom,Standard Kart,Shy Guy,S,D,C,5,Blocker,10.0,4.0,Yes,,"Fire Flower, Green Shell, 1-Up Mushroom",326,80,4.0,Mario Kart 8 Deluxe
,Sarasaland Stars,Mushroom Kingdom,Standard Kart,Goomba,,S,D,10,Item Specialist,153.0,2.6,No,,"Red Shell, Super Mushroom, Super Star",168,81,2.0,Mario Tennis Aces
Peach,KOOPA CLAN,sTAR wORLD,Circuit Special,yOSHI,S,C,A,11,Driver,36.0,2.0,No,,"Green Shell, 1-Up Mushroom, Fire Flower",190,73,2.0,Mario Kart 8 Deluxe
,Toad Brigade,Donut Plains,Mach 8,sHY gUY,B,A,D,15,Item Sp%ecialist,101.0,2.0,Yes,,Super Star,187,80,7.0,Super Mario Bros.
Rosalina,Toad Brigade,Toad Town,Mach 8,sHY gUY,,B,C,16,Speedster,174.0,4.0,Yes,,"1-Up Mushroom, Super Mushroom, Super Star",252,81,9.0,Mario Party Superstars
Toadette,Koopa Clan,                  Star World         ,Scooter,Luma,C,A,S,23,Speedster,152.0,0.250207,No,,Super Star,138,88,1.0,Mario Party Superstars
Yoshi,Toad Brigade,                           Yoshi's Island                  ,         Scooter                  ,pOLTERPUP,C,A,D,6,Drifter,160.0,2.0,Yes,No,"Banana Peel, Red Shell, Green Shell",462,39,0.0,Super Mario World
Daisy,,Toad Town,Scooter,gOOMBA,,B,S,23,Item Specialist,194.0,0.0,No,,"Red Shell, Super Star",58,65,10.0,Super Mario World
Toadette,Tricksters,Mushroom Kingdom,Biddybuggy,sHY gUY,,C,B,19,Drifter,162.652661,3.0,Yes,Yes,Fire Flower,494,34,6.0,Super Mario Bros.
,Koopa Clan,Yoshi's Island,Standard Kart,kOOPA tROOPA,D,C,C,30,Item Special_ist,-69.0,5.0,Yes,No,Banana Peel,344,31,5.0,Super Mario Bros.
Toadette,Toad Brigade,         Star World         ,         Mach 8                           ,Polterpup,D,D,S,10,Speedster,48.0,5.0,Yes,Yes,"Fire Flower, Super Mushroom, 1-Up Mushroom",351,99,5.0,Super Mario World
Peach,Toad Brigade,Donut Plains,Scooter,gOOMBA,A,A,B,9,Blocker,32.0,5.8672,No,No,"1-Up Mushroom, Super Mushroom, Super Star",487,59,7.0,                           Super Mario World         
,Green Caps,         Mushroom Kingdom         ,Comet Bike,kOOPA tROOPA,A,D,A,22,"B,locker",-34.0,5.0,Yes,,"Fire Flower, Banana Peel",15,99,1.0,         Mario Strikers         
Toadette,Toad Brigade,Yoshi's Island,Biddybuggy,Shy Guy,B,B,A,13,Blocker,85.0,1.0,Yes,,"Green Shell, Banana Peel, Red Shell",153,83,10.0,Super Mario Bros.
,Red Caps,Yoshi's Island,Standard Kart,gOOMBA,C,C,C,30,Speedster,47.2639,5.0,Yes,Yes,Super Star,252,53,10.0,Mario Strikers
Toadette,Tricksters,Mushroom Kingdom,         Circuit Special         ,Luma,B,S,B,10,Dri>ver,-91.0,1.0,Yes,,Green Shell,64,53,0.0,Super Mario Odyssey
Luigi,Red Caps,                           Toad Town                  ,Pipe Frame,gOOMBA,,C,A,26,Item Specialist,13.0,1.0,No,,Banana Peel,355,29,6.0,                  Super Mario Odyssey         
Bowser Jr.,Mushroom Royalty,Koopa Kingdom,Scooter,Goomba,,A,B,5,Driver?,150.0,5.0,Yes,Yes,Super Mushroom,416,36,8.0,Super Mario World
Yoshi,GREEN CAPS,dONUT pLAINS,         Standard Kart         ,Goomba,,D,S,5,Speedster,-67.144,5.58,No,Yes,"1-Up Mushroom, Super Star",75,55,4.0,Super Mario World
Mario,Sarasaland Stars,Yoshi's Island,Standard Kart,lUMA,S,S,S,22,Blocker,106.0,4.0,Yes,Yes,"Super Star, Fire Flower, 1-Up Mushroom",246,91,9.0,Super Mario Odyssey
Bowser Jr.,Mushroom Royalty,mUSHROOM kINGDOM,Scooter,Goomba,A,D,B,8,Drifter,34.0,2.0,Yes,No,"1-Up Mushroom, Banana Peel, Super Mushroom",65,85,7.0,Mario Party Superstars
Toadette,Sarasaland Stars,                           Star World                  ,Comet Bike,Yoshi,,S,D,27,Driver,48.0,3.0,No,,"Red Shell, Banana Peel, 1-Up Mushroom",186,99,9.0,Super Mario Bros.
,DINO BUDDIES,         Donut Plains                           ,         Pipe Frame                           ,tOAD,B,S,C,14,Driver,190.0,2.0,Yes,No,"Super Mushroom, Red Shell, 1-Up Mushroom",108,98,10.0,Super Mario Bros.
,Sarasaland Stars,         Star World                  ,Biddybuggy,sHY gUY,D,D,A,19,Item Specialist,184.0,3.0,No,No,"Red Shell, Super Star, Banana Peel",324,70,5.0,Super Mario Bros.
Toad,Mushroom Royalty,                           Star World         ,Scooter,Yoshi,C,C,C,13,Speedster,89.0,2.0,Yes,No,"Super Mushroom, Banana Peel",256,94,9.0,Super Mario Bros.
,Koopa Clan,dONUT pLAINS,Scooter,Shy Guy,S,A,C,21,Speedster,74.0,0.0,No,,"Banana Peel, Super Star, Green Shell",258,92,10.0,Mario Party Superstars
Peach,Toad Brigade,kOOPA kINGDOM,Comet Bike,kOOPA tROOPA,D,D,S,29,Speedster,-9.0,0.0,No,No,Super Star,65,64,3.0,Mario Strikers
,Sarasaland Stars,Koopa Kingdom,                           Biddybuggy                           ,pOLTERPUP,,B,D,6,Drifter,111.0,3.0,No,No,Super Star,177,30,9.0,Mario Strikers
Daisy,Green Caps,                  Toad Town         ,         Mach 8                  ,gOOMBA,S,B,C,15,Driver,113.40948,3.0,Yes,,Banana Peel,419,92,3.0,Super Mario Bros.
,DINO BUDDIES,Mushroom Kingdom,Scooter,yOSHI,,D,B,29,Speedster,187.15426,1.0,No,No,Red Shell,328,79,0.0,Super Mario Odyssey
Yoshi,Toad Brigade,                  Koopa Kingdom         ,Biddybuggy,gOOMBA,S,C,S,27,B!locker,-60.0,5.34,Yes,No,Super Mushroom,468,86,4.0,         Mario Tennis Aces                  
,,Mushroom Kingdom,Pipe Frame,lUMA,,B,C,11,"I""tem Specialist",-62.0,0.0,No,Yes,"Super Mushroom, 1-Up Mushroom, Banana Peel",254,58,6.0,Super Mario World
Bowser Jr.,Mushroom Royalty,                  dONUT pLAINS                           ,Circuit Special,Luma,C,A,B,14,Driver,-81.25,1.0,No,No,"Red Shell, Super Mushroom",413,62,3.0,                  Mario Party Superstars                           
Rosalina,Toad Brigade,Donut Plains,Standard Kart,pOLTERPUP,S,A,D,28,Blocker,10.0,2.0,No,No,Fire Flower,109,51,4.0,Mario Tennis Aces
