Player Name,Team,World,Vehicle Type,Companion,Kart Racing Rank,Platforming Rank,Boss Battle Rank,Power-Ups Used,Kart Role,Team Points,Lives Lost,Participation in Battle Mode,Mushroom Cup Participation,Power-Ups Owned,Coins Spent in Toad Town,Levels Completed,Times Hit by Enemies,Primary Game
Bowser Jr.,Toad Brigade,Donut Plains,Standard Kart,Shy Guy,A,B,S,27,Speedster,189.0,3.0,No,Yes,"Fire Flower, Super Mushroom, Red Shell",371,64,3.0,Mario Party Superstars
Yoshi,Koopa Clan,Star World,Mach 8,Shy Guy,D,B,B,24,Drift[er,157.0,0.71452,Yes,No,1-Up Mushroom,130,91,1.0,Mario Party Superstars
Bowser,Red Caps,Mushroom Kingdom,Circuit Special,Yoshi,,A,A,17,Speedster,176.0,0.0,No,,Super Star,373,56,3.0,Super Mario Bros.
Toadette,Sarasaland Stars,Donut Plains,Comet Bike,Shy Guy,A,B,C,14,Speedster,-42.0,2.0,No,Yes,Red Shell,92,69,9.0,Super Mario Odyssey
Yoshi,Green Caps,Toad Town,Circuit Special,Yoshi,B,B,B,7,Speedster,197.0,5.0,Yes,,"Green Shell, 1-Up Mushroom",436,89,6.0,Mario Tennis Aces
Waluigi,Green Caps,Mushroom Kingdom,Biddybuggy,Toad,B,D,B,14,Drifter,76.0,1.0,Yes,No,"Red Shell, Banana Peel",256,48,8.0,Super Mario Bros.
Mario,Mushroom Royalty,Koopa Kingdom,Comet Bike,Toad,B,D,C,23,Item Specialist,35.0,2.0,No,Yes,Super Star,167,53,9.0,Super Mario World
,Tricksters,Star World,Mach 8,Koopa Troopa,B,B,A,12,Item` Specialist,56.0,4.0,No,,"Banana Peel, Super Mushroom",215,74,1.0,Super Mario World
Mario,GREEN CAPS,Koopa Kingdom,Pipe Frame,Luma,C,B,A,29,Item Specialist,108.0,3.0,No,,"Green Shell, Super Mushroom, Fire Flower",349,54,1.0,Mario Tennis Aces
Bowser,,Toad Town,Mach 8,Polterpup,A,B,B,6,Driver,31.0,3.0,No,No,Red Shell,459,42,10.0,Mario Strikers
Daisy,Red Caps,         Yoshi's Island                           ,                  Comet Bike                  ,Toad,,S,D,17,Drift&er,48.0,1.0,Yes,No,1-Up Mushroom,189,80,3.0,Super Mario Bros.
Daisy,Koopa Clan,Donut Plains,Scooter,Goomba,S,B,B,25,Driver,-45.0,3.57,Yes,,"Super Mushroom, 1-Up Mushroom",85,38,9.0,Mario Party Superstars
,Dino Buddies,Donut Plains,Standard Kart,Yoshi,D,D,D,28,Speedster,193.0,3.0,No,,"Banana Peel, Fire Flower, 1-Up Mushroom",365,65,0.0,Super Mario Bros.
,Dino Buddies,Donut Plains,Mach 8,kOOPA tROOPA,B,D,C,21,Speedster,110.0,0.0578,No,Yes,"Red Shell, Super Mushroom, Green Shell",492,76,6.0,Mario Strikers
,Red Caps,Donut Plains,Standard Kart,Luma,C,C,S,12,Blocker,-69.0,1.0,No,No,"Fire Flower, Super Star, Red Shell",312,96,6.0,Super Mario World
Peach,,Koopa Kingdom,Biddybuggy,Toad,D,D,C,5,Item Specialist,68.0,0.0,Yes,Yes,"Fire Flower, 1-Up Mushroom, Super Mushroom",250,99,2.0,Super Mario Bros.
Bowser Jr.,Green Caps,Donut Plains,                  Scooter                  ,Polterpup,B,B,B,15,Speedster,185.0,0.59846,Yes,No,"Banana Peel, Red Shell",174,90,6.0,Mario Tennis Aces
Yoshi,Dino Buddies,Mushroom Kingdom,Biddybuggy,Toad,S,A,B,14,Drifter,17.0,3.0,No,,"Red Shell, 1-Up Mushroom",244,73,4.0,Super Mario Odyssey
Bowser,MUSHROOM ROYALTY,Mushroom Kingdom,Pipe Frame,Luma,B,C,B,10,Spe%edster,184.0,1.0,No,No,"Banana Peel, 1-Up Mushroom, Super Mushroom",367,26,0.0,Super Mario Bros.
Peach,Sarasaland Stars,Donut Plains,         Biddybuggy                           ,Koopa Troopa,C,B,A,9,Driver',108.630814,3.0,Yes,Yes,"Green Shell, Super Star",87,74,1.0,Mario Strikers
Yoshi,Koopa Clan,Mushroom Kingdom,Comet Bike,Luma,C,B,A,5,Blocker,-57.0,0.0,No,,"Super Mushroom, Super Star, Fire Flower",366,50,6.0,Super Mario World
Daisy,Sarasaland Stars,Mushroom Kingdom,Biddybuggy,Toad,A,A,C,30,Spe*edster,47.0,2.0,No,No,Red Shell,417,80,5.0,Super Mario World
Peach,Mushroom Royalty,                           Donut Plains                           ,Pipe Frame,Yoshi,C,S,C,14,Item Specialist,-48.0,4.0,Yes,,Red Shell,345,38,7.0,Mario Party Superstars
Peach,Green Caps,Donut Plains,Mach 8,Polterpup,S,C,C,14,Item Specialist,-51.0,0.0,No,No,Fire Flower,3,99,5.0,Mario Party Superstars
Toadette,Tricksters,Yoshi's Island,Biddybuggy,Toad,C,D,C,24,Drifter,138.0,0.0,No,Yes,"Super Star, Fire Flower, 1-Up Mushroom",11,37,9.0,Mario Tennis Aces
Waluigi,Koopa Clan,         Toad Town                  ,                  Circuit Special                           ,Shy Guy,A,D,A,19,Speedster,-26.0,5.0,No,No,"Fire Flower, 1-Up Mushroom",167,95,1.8,Super Mario World
,Dino Buddies,Toad Town,                           Scooter                           ,Toad,B,D,D,5,Speedster,198.0,2.0,No,Yes,"Super Star, Green Shell",63,29,5.337,Mario Kart 8 Deluxe
,DINO BUDDIES,Star World,Comet Bike,Goomba,C,A,D,23,Item Specialist,53.0,1.0,Yes,Yes,"1-Up Mushroom, Fire Flower, Super Mushroom",88,72,1.0,Super Mario Odyssey
Bowser,Mushroom Royalty,Donut Plains,                           Mach 8         ,Koopa Troopa,A,A,S,8,Blocker,126.0,4.0,Yes,No,"Super Mushroom, Banana Peel, Super Star",370,64,3.0,Mario Party Superstars
Bowser,Mushroom Royalty,Star World,Circuit Special,Koopa Troopa,C,A,A,15,Speedster,192.0,1.79017,No,,Banana Peel,121,60,10.0,Super Mario Bros.
Mario,,Koopa Kingdom,Circuit Special,Koopa Troopa,A,C,D,15,Item Specialist,57.0,5.343,No,Yes,"Green Shell, Red Shell",466,44,9.0,Mario Kart 8 Deluxe
,,Donut Plains,Biddybuggy,Polterpup,C,B,B,20,Speedster,-9.0,5.0,No,,Green Shell,9,28,7.0,Super Mario Bros.
Peach,Tricksters,Yoshi's Island,Mach 8,Yoshi,S,S,B,5,Speedster,-87.0,3.3481,No,No,Super Mushroom,153,67,1.0,Super Mario Bros.
,MUSHROOM ROYALTY,         Koopa Kingdom         ,Pipe Frame,Toad,D,B,S,18,Driver,18.0,3.6,No,No,Fire Flower,0,75,4.0,Super Mario Odyssey
Daisy,Dino Buddies,Koopa Kingdom,Pipe Frame,pOLTERPUP,D,B,A,10,Drif}ter,-63.0,3.385262,No,No,"Fire Flower, Red Shell",160,94,3.0,Mario Strikers
Rosalina,Dino Buddies,Toad Town,Biddybuggy,Shy Guy,A,A,A,20,Speedster,-2.0,0.0,Yes,No,"Super Mushroom, Red Shell",236,96,4.111,Mario Strikers
Toadette,Green Caps,Mushroom Kingdom,Standard Kart,Shy Guy,D,A,A,8,Item Specialist,-11.0,5.0,No,No,Banana Peel,423,78,4.0,Mario Tennis Aces
Daisy,RED CAPS,Mushroom Kingdom,Standard Kart,Shy Guy,C,D,A,13,Blocke^r,-61.0,2.66337,Yes,,"Green Shell, Red Shell, Banana Peel",311,99,7.0,Super Mario World
Toad,Koopa Clan,Mushroom Kingdom,Scooter,Koopa Troopa,A,A,C,22,Blocker,27.0,2.0,Yes,,"Banana Peel, Fire Flower",343,87,2.0,Mario Strikers
Waluigi,Koopa Clan,Star World,Mach 8,Goomba,B,S,A,17,Ite/m Specialist,-31.0,3.0,No,No,"Super Mushroom, Fire Flower, Green Shell",471,91,7.0,Super Mario Bros.
Toad,Toad Brigade,Star World,Comet Bike,Luma,S,A,C,21,Item Specialist,126.0,1.0,No,,"1-Up Mushroom, Green Shell, Red Shell",389,94,3.0,Super Mario World
Toadette,Mushroom Royalty,Toad Town,Standard Kart,Toad,C,S,C,23,Driver,99.0,4.0,Yes,,"Red Shell, Fire Flower",372,69,8.0,Super Mario Odyssey
Mario,TRICKSTERS,Koopa Kingdom,Standard Kart,Polterpup,C,C,S,28,Dr'iver,-89.0,4.0,No,,"Fire Flower, Red Shell, Super Mushroom",15,35,3.0,Mario Tennis Aces
Waluigi,Green Caps,Yoshi's Island,Standard Kart,Goomba,C,D,C,21,Driver,8.0,5.0,No,,"1-Up Mushroom, Banana Peel",459,84,9.0,Mario Tennis Aces
Mario,Sarasaland Stars,Yoshi's Island,Standard Kart,Koopa Troopa,D,C,B,6,Drifter,143.0,2.0,Yes,,"Fire Flower, Super Star, Red Shell",379,63,3.0,Mario Tennis Aces
Bowser Jr.,Tricksters,Donut Plains,Scooter,Polterpup,B,S,D,26,Driver,176.0,1.0,Yes,Yes,"Super Star, 1-Up Mushroom, Fire Flower",364,76,10.0,Super Mario World
Waluigi,Sarasaland Stars,Donut Plains,Scooter,Polterpup,S,A,S,22,Speedster,-27.0,0.0,No,Yes,"Fire Flower, Super Star, Red Shell",270,47,8.0,Mario Party Superstars
Daisy,,Donut Plains,Mach 8,Toad,D,S,A,10,Driver,173.0,3.0,Yes,,1-Up Mushroom,228,72,3.0,Super Mario Bros.
,Green Caps,Mushroom Kingdom,Biddybuggy,Yoshi,B,C,A,29,Blocker,-36.0,1.0,Yes,,"Red Shell, Super Star",286,100,3.0,Mario Kart 8 Deluxe
,,Star World,                  Scooter                           ,Shy Guy,D,D,B,21,Item Specialist,42.0,2.0,No,,"Green Shell, Super Mushroom",0,84,10.0,Mario Strikers
Bowser Jr.,Dino Buddies,Mushroom Kingdom,Mach 8,sHY gUY,D,A,D,14,Item Specialist,-18.0,2.0,Yes,Yes,1-Up Mushroom,155,51,5.0,Mario Kart 8 Deluxe
Mario,Tricksters,Toad Town,Mach 8,Yoshi,,A,A,19,Speedster=,-79.0,0.0,Yes,,"Super Mushroom, Super Star, Red Shell",40,63,4.0,Super Mario World
Toad,Mushroom Royalty,Yoshi's Island,Mach 8,Polterpup,S,B,D,18,Item Specialist,-87.0,2.0,Yes,Yes,Red Shell,392,50,5.0,Super Mario Bros.
Toad,Dino Buddies,                           Donut Plains         ,         Standard Kart                           ,Goomba,A,B,D,9,Dr}iver,-77.0,1.0,No,No,"Super Star, 1-Up Mushroom",321,69,0.8971,Mario Tennis Aces
Wario,Green Caps,Yoshi's Island,                           Standard Kart                           ,Goomba,A,D,D,17,Blocker,97.0,4.0,Yes,,"1-Up Mushroom, Super Mushroom",3,79,7.0,Super Mario Bros.
,TRICKSTERS,Star World,Biddybuggy,lUMA,B,C,A,12,Drifter,-21.0,2.0,Yes,,"Banana Peel, Super Star, Green Shell",220,61,9.2,Mario Party Superstars
Toadette,Mushroom Royalty,Star World,Standard Kart,Yoshi,D,D,C,7,Driver,-9.0,3.11648,No,,"Green Shell, Banana Peel, Fire Flower",438,31,1.0,Super Mario Bros.
Luigi,,Donut Plains,Standard Kart,Goomba,A,D,C,13,Drifter,-71.0,3.0,No,No,"Green Shell, Banana Peel, Red Shell",500,28,2.0,Super Mario Odyssey
Bowser,,Yoshi's Island,Mach 8,Koopa Troopa,C,B,C,28,Driver,101.0,2.485,Yes,Yes,Super Mushroom,193,76,10.0,Mario Kart 8 Deluxe
,Tricksters,Star World,Scooter,Toad,C,D,B,29,Drifter,195.0,2.0,No,No,"Banana Peel, Super Star",201,95,4.0,Super Mario Odyssey
Toadette,Green Caps,Star World,                  Comet Bike                  ,Yoshi,D,D,B,13,Blocker,47.0,2.5,No,Yes,"Banana Peel, Green Shell",205,90,5.0,Mario Party Superstars
Bowser Jr.,,Yoshi's Island,Comet Bike,Luma,,S,B,13,Driver,-91.0,0.0,Yes,,"Red Shell, Fire Flower",77,58,9.0,Mario Strikers
Bowser Jr.,Dino Buddies,Star World,Standard Kart,Polterpup,C,B,D,11,Speedster,188.0,5.0,Yes,No,"Green Shell, Fire Flower, Super Mushroom",426,31,9.203,Mario Kart 8 Deluxe
Luigi,,Toad Town,Mach 8,lUMA,C,D,A,29,Speedster,118.0,4.36,No,No,Super Star,313,49,6.4726,Super Mario Bros.
Peach,Dino Buddies,Yoshi's Island,Pipe Frame,Luma,,S,C,26,Drifter,183.0,5.0,No,No,"Fire Flower, Super Star",67,88,7.0,Super Mario Bros.
Yoshi,Tricksters,Koopa Kingdom,Pipe Frame,Goomba,C,B,C,23,Speedster,19.0,4.0,No,Yes,"Super Mushroom, Fire Flower, Red Shell",439,32,9.0,Super Mario World
Bowser Jr.,Dino Buddies,Donut Plains,Comet Bike,Toad,C,B,B,14,Blocker,148.0,0.0,No,Yes,"Fire Flower, Super Star, Red Shell",15,47,8.0,Mario Strikers
Mario,RED CAPS,Toad Town,Comet Bike,Goomba,A,A,D,14,Driver,64.0,2.0,Yes,,"1-Up Mushroom, Green Shell",280,56,7.0,Mario Party Superstars
Mario,,                           Toad Town         ,                  Comet Bike                  ,Shy Guy,S,D,S,30,Item Specialist,-84.0,1.270555,No,,Green Shell,490,49,10.0,Mario Party Superstars
Luigi,Mushroom Royalty,Donut Plains,Circuit Special,Toad,B,D,D,27,Blocker,46.0,4.0,No,Yes,Green Shell,282,77,0.0,Mario Strikers
,,Star World,                           Standard Kart                  ,Yoshi,C,D,S,6,Blocker,9.0,1.0,No,,Fire Flower,202,83,1.0,Mario Strikers
Rosalina,TOAD BRIGADE,Donut Plains,Pipe Frame,Goomba,D,D,A,24,Item Specialist,105.0,3.0,No,No,Super Star,154,100,4.95183,Super Mario World
Bowser Jr.,Tricksters,Toad Town,Mach 8,Goomba,C,A,A,7,Spe^edster,-83.0,1.0,No,,Red Shell,163,53,1.0,Mario Party Superstars
YoshZi,,Koopa Kingdom,                           Biddybuggy                  ,Koopa Troopa,D,D,C,30,Driver,86.0,1.0,No,No,"Fire Flower, Super Star",296,82,9.0,Mario Strikers
Mario,,Koopa Kingdom,Mach 8,Yoshi,A,D,B,26,Drifter,152.0,3.0,Yes,,"Super Star, Green Shell",94,32,6.0,Mario Strikers
Mario,Dino Buddies,Mushroom Kingdom,Comet Bike,Goomba,C,B,S,12,Driv=er,70.0,5.0,Yes,No,"Super Star, Red Shell",73,56,3.0,Mario Party Superstars
Bowser Jr.,TOAD BRIGADE,Koopa Kingdom,Pipe Frame,tOAD,A,D,C,10,Blocker,169.0,3.0,Yes,,"Super Mushroom, 1-Up Mushroom",310,55,8.0,Mario Tennis Aces
,Tricksters,Yoshi's Island,                           Comet Bike                  ,Koopa Troopa,C,D,C,27,Driver,23.0,5.0,Yes,,"Super Mushroom, Super Star",225,75,9.0,Mario Party Superstars
Luigi,MUSHROOM ROYALTY,Mushroom Kingdom,                  Pipe Frame                           ,Goomba,C,A,A,15,Item Specialis!t,84.0,3.0,Yes,,"Super Star, Fire Flower",146,73,7.0,Mario Kart 8 Deluxe
Mario,Toad Brigade,Toad Town,Scooter,Polterpup,,D,D,8,Dri@ver,49.0,1.0,Yes,,"Green Shell, Super Mushroom",458,32,4.0,Mario Party Superstars
Luigi,Dino Buddies,         Koopa Kingdom                           ,Scooter,Goomba,A,C,S,22,I<tem Specialist,125.0,3.0,No,No,"Fire Flower, 1-Up Mushroom, Green Shell",406,31,9.0,Mario Kart 8 Deluxe
,Sarasaland Stars,Koopa Kingdom,Circuit Special,Toad,S,D,C,9,Speedster,24.0,2.0,No,No,Super Star,103,42,3.0,Super Mario World
,RED CAPS,Toad Town,                           Circuit Special                  ,Goomba,A,S,B,18,Drifter,154.0,1.0,Yes,No,"Red Shell, Banana Peel",487,35,5.0,Mario Tennis Aces
Daisy,GREEN CAPS,Donut Plains,Circuit Special,Luma,C,B,S,9,Blocker,-19.0,0.0,No,Yes,"Fire Flower, Super Mushroom, Banana Peel",130,28,4.0,Mario Kart 8 Deluxe
Bowser,Red Caps,Star World,                           Scooter                  ,Polterpup,A,S,C,30,Driver,98.0,5.0,Yes,Yes,"Green Shell, Super Mushroom",457,98,4.0,Super Mario Bros.
Wario,Mushroom Royalty,Koopa Kingdom,Comet Bike,Toad,D,A,C,25,Drifter!,-73.0,2.0,No,,"Super Star, Red Shell, Fire Flower",317,75,3.0,Super Mario Bros.
,Koopa Clan,Toad Town,Biddybuggy,gOOMBA,B,D,A,29,Driver,186.0,0.0,Yes,,"Fire Flower, 1-Up Mushroom",228,28,2.0,Mario Tennis Aces
Bowser,,Toad Town,Biddybuggy,Polterpup,C,D,A,25,"Item Speci""alist",44.0,0.0,Yes,No,"Fire Flower, Banana Peel",166,69,0.0,Mario Party Superstars
Toadette,,Koopa Kingdom,Comet Bike,Koopa Troopa,C,S,D,26,Drif%ter,76.0,3.0,Yes,Yes,1-Up Mushroom,177,67,3.0,Super Mario Odyssey
Daisy,,Toad Town,Biddybuggy,Yoshi,B,B,B,23,Dr]ifter,-72.0,0.0,Yes,Yes,Red Shell,114,37,2.0,Mario Kart 8 Deluxe
,Green Caps,Koopa Kingdom,Biddybuggy,Shy Guy,D,A,A,18,Speedster,156.0,0.0,No,No,Green Shell,47,66,10.0,Super Mario Odyssey
,MUSHROOM ROYALTY,Star World,                           Biddybuggy                           ,Yoshi,S,A,S,19,Dr~iver,71.0,0.0,Yes,Yes,"Fire Flower, Red Shell, Green Shell",86,88,8.0,Super Mario World
Peach,Toad Brigade,Donut Plains,Biddybuggy,Yoshi,A,S,D,17,Drifter,137.0,5.0,Yes,Yes,Super Star,159,54,1.0,Super Mario World
Toadette,Mushroom Royalty,Yoshi's Island,                  Circuit Special                           ,pOLTERPUP,C,A,A,24,Drifter,54.0,5.0,No,,"1-Up Mushroom, Super Mushroom",25,83,5.0,Mario Party Superstars
Daisy,Dino Buddies,Mushroom Kingdom,                           Biddybuggy                           ,Polterpup,D,A,A,23,Item Specialist,117.0,0.0,Yes,Yes,Super Mushroom,137,94,0.0,Super Mario World
Peach,GREEN CAPS,Donut Plains,Standard Kart,tOAD,B,A,S,17,Driv;er,60.0,1.0,No,No,"Super Mushroom, Red Shell",366,51,2.0,Super Mario Odyssey
,GREEN CAPS,Yoshi's Island,Biddybuggy,Polterpup,C,D,C,28,Drifter,196.0,0.0,Yes,,"Green Shell, Red Shell, Banana Peel",235,66,9.0,Mario Tennis Aces
,GREEN CAPS,Star World,                           Biddybuggy                  ,Shy Guy,B,D,S,23,Drifter,95.0,1.0,No,,"Banana Peel, 1-Up Mushroom, Super Mushroom",486,71,7.0,Mario Party Superstars
Wario,MUSHROOM ROYALTY,Koopa Kingdom,Comet Bike,Koopa Troopa,D,S,A,22,Speedster,-60.0,0.40958,No,,"Super Mushroom, 1-Up Mushroom",300,60,3.0,Mario Tennis Aces
Wario,RED CAPS,Mushroom Kingdom,Scooter,Toad,C,C,S,23,Drifter,11.0,1.56,No,,"Super Mushroom, Green Shell, 1-Up Mushroom",230,48,5.0,Super Mario Bros.
,Toad Brigade,Yoshi's Island,Mach 8,Yoshi,A,S,D,17,Item Specialist,48.0,3.0,No,,Super Mushroom,496,57,9.0,Super Mario Bros.
Luigi,Koopa Clan,Donut Plains,Pipe Frame,Goomba,C,C,S,10,Blocker,62.0,1.0,Yes,No,Fire Flower,104,59,6.0,Mario Strikers
Daisy,Toad Brigade,Mushroom Kingdom,                  Standard Kart                           ,Toad,D,C,D,13,Drifter,-88.0,0.0,No,Yes,Green Shell,355,100,3.54,Super Mario Odyssey
Wario,Sarasaland Stars,Toad Town,         Scooter         ,Luma,B,A,C,20,Drifter,65.0,3.00033,No,No,1-Up Mushroom,467,50,0.0,Super Mario Bros.
Luigi,Red Caps,Koopa Kingdom,Scooter,Polterpup,,B,B,20,Drifter,144.0,3.0,No,,"Red Shell, Super Star, Banana Peel",441,58,10.2,Super Mario Bros.
Rosalina,Red Caps,Mushroom Kingdom,Pipe Frame,Yoshi,A,S,S,10,Drifter,179.0,4.0,No,No,"1-Up Mushroom, Red Shell, Fire Flower",291,65,6.0,Super Mario World
Bowser,Koopa Clan,Mushroom Kingdom,                  Pipe Frame                           ,Yoshi,C,S,D,26,Blocker,52.0,1.0,Yes,,"Super Star, Fire Flower",401,74,2.0,Mario Kart 8 Deluxe
Bowser,SARASALAND STARS,Donut Plains,Pipe Frame,Luma,C,A,C,18,Driver,34.0,5.0,Yes,No,"1-Up Mushroom, Fire Flower",452,76,8.0,Mario Party Superstars
Bowser,GREEN CAPS,Yoshi's Island,Standard Kart,Koopa Troopa,A,D,B,24,Item Specialist,-21.0,3.0,No,,"Fire Flower, Banana Peel",40,81,9.0,Super Mario World
Waluigi,Sarasaland Stars,Toad Town,                  Standard Kart                  ,Shy Guy,D,S,D,15,Driver,43.0,0.0,No,Yes,Banana Peel,2,28,5.0,Mario Tennis Aces
Yoshi,Mushroom Royalty,Mushroom Kingdom,Scooter,Koopa Troopa,A,S,A,18,Drifter,-83.0,5.0,No,No,"Green Shell, Super Star, Super Mushroom",409,74,8.0,Super Mario World
Toad,Koopa Clan,Star World,Scooter,Goomba,C,A,D,26,Item Specialist,131.0,3.0,Yes,Yes,"Red Shell, Super Mushroom",440,74,6.0,Super Mario World
,Mushroom Royalty,Donut Plains,Biddybuggy,Luma,A,S,A,17,Speedster,82.0,3.0,Yes,,Fire Flower,490,96,8.0,Mario Tennis Aces
Rosalina,Tricksters,Star World,Scooter,Shy Guy,S,S,A,26,Item Specialist,89.0,5.0,No,,"Red Shell, 1-Up Mushroom, Super Star",102,67,1.0,Mario Tennis Aces
Peach,GREEN CAPS,Mushroom Kingdom,         Pipe Frame         ,Shy Guy,D,C,C,15,Item Specialist,173.0,1.0,No,,"1-Up Mushroom, Fire Flower, Super Star",211,85,2.0,Super Mario Odyssey
,Mushroom Royalty,         Star World                  ,Comet Bike,Luma,C,C,C,18,Speedst?er,-22.0,3.0,No,No,Red Shell,440,35,10.0,Mario Tennis Aces
Daisy,RED CAPS,Koopa Kingdom,         Standard Kart         ,Shy Guy,D,B,A,29,Item Specialist,43.0,3.0,Yes,Yes,"Super Mushroom, 1-Up Mushroom, Red Shell",101,61,9.0,Super Mario Bros.
Bowser,Toad Brigade,Yoshi's Island,Biddybuggy,Koopa Troopa,B,C,A,25,Drifter,31.0,1.0,Yes,,"Banana Peel, Green Shell",72,41,1.0,Super Mario Odyssey
,Tricksters,Toad Town,Circuit Special,Luma,A,A,B,10,Item Specialist,-50.0,2.84114,No,,"Banana Peel, Red Shell, Fire Flower",244,97,7.0,Super Mario World
Toad,,Yoshi's Island,Standard Kart,Yoshi,B,C,C,28,Speedster,39.0,0.0,No,Yes,"Fire Flower, Super Star",298,85,10.0,Super Mario Odyssey
Wario,Mushroom Royalty,Toad Town,Standard Kart,Polterpup,S,D,A,10,Driver,-57.0,4.0,Yes,No,"Super Star, Banana Peel",358,58,2.0,Super Mario World
Waluigi,Green Caps,Yoshi's Island,Comet Bike,Polterpup,B,D,D,15,Driver,46.0,1.0,No,No,Green Shell,26,74,9.0,Super Mario World
Waluigi,KOOPA CLAN,                  Yoshi's Island                  ,Scooter,Goomba,D,D,S,10,Item Specialist,184.0,0.0,No,Yes,"Banana Peel, 1-Up Mushroom, Red Shell",434,60,2.0,Mario Tennis Aces
,Mushroom Royalty,Koopa Kingdom,Comet Bike,Koopa Troopa,D,S,B,22,Speedster,61.0,2.0,No,No,Banana Peel,188,36,9.0,Super Mario World
